ID Commune;nb_menages;revenu_median;nb_personnes_Menage_fiscaux;Année
01073;457.0;25250.0;1132.740795287187;2021
01073;444.0;22682.0;1033.0;2016
01074;1029.0;23720.0;2550.5257731958764;2021
01074;976.0;21290.0;2338.0;2016
01075;555.0;24890.0;1375.6480117820324;2021
01075;495.0;23195.0;1370.0;2016
01076;86.0;21070.0;213.16347569955815;2021
01076;76.0;20439.0;146.0;2016
01077;92.0;24620.0;228.03534609720177;2021
01077;91.0;21320.0;190.0;2016
01078;561.0;44460.0;1390.519882179676;2021
01078;504.0;42085.0;1237.0;2016
01079;308.0;22770.0;763.4226804123712;2021
01079;311.0;20290.0;709.0;2016
01080;281.0;23720.0;696.499263622975;2021
01080;282.0;21599.0;665.0;2016
01081;322.0;27400.0;798.1237113402062;2021
01081;299.0;22962.0;690.0;2016
01082;215.0;27880.0;532.9086892488955;2021
01082;219.0;23821.0;540.0;2016
01083;384.0;25580.0;951.79970544919;2021
01083;343.0;22744.0;930.0;2016
01084;342.0;24050.0;847.6966126656848;2021
01084;314.0;20934.0;848.0;2016
01085;151.0;26330.0;374.27540500736376;2021
01085;145.0;21769.0;393.0;2016
01087;118.0;27320.0;292.48011782032404;2021
01087;116.0;24141.0;285.0;2016
01088;380.0;28140.0;941.8851251840942;2021
01088;353.0;25693.0;942.0;2016
01089;896.0;25170.0;2220.865979381443;2021
01089;822.0;21886.0;2222.0;2016
01090;154.0;24090.0;381.7113402061856;2021
01090;144.0;22320.0;348.0;2016
01092;674.0;25470.0;1670.6067746686304;2021
01092;627.0;23277.0;1634.0;2016
01093;2349.0;23430.0;5822.337260677467;2021
01093;2153.0;20849.0;4628.0;2016
01094;320.0;23460.0;793.1664212076583;2021
01094;312.0;20651.0;752.0;2016
01095;343.0;23260.0;850.1752577319588;2021
01095;331.0;20242.0;786.0;2016
01096;410.0;23940.0;1016.2444771723124;2021
01096;381.0;21556.0;1012.0;2016
01098;460.0;22520.0;1140.1767304860089;2021
01098;444.0;20510.0;1115.0;2016
01099;674.0;26780.0;1670.6067746686304;2021
01099;632.0;24182.0;1558.0;2016
01100;74.0;21090.0;183.419734904271;2021
01100;72.0;20033.0;142.0;2016
01101;71.0;26800.0;175.9837997054492;2021
01101;67.0;25300.0;162.0;2016
01102;399.0;23750.0;988.979381443299;2021
01102;361.0;21651.0;939.0;2016
01103;769.0;44010.0;1906.078055964654;2021
01103;590.0;39236.0;1462.0;2016
01104;196.0;25230.0;485.8144329896907;2021
01104;187.0;24775.0;437.0;2016
01105;728.0;28920.0;1804.4536082474228;2021
01105;624.0;25783.0;1717.0;2016
01106;75.0;23440.0;185.8983799705449;2021
01106;70.0;21393.0;160.0;2016
01107;64.0;22370.0;158.63328424153167;2021
01107;61.0;21660.0;127.0;2016
01108;554.0;23750.0;1373.1693667157583;2021
01108;516.0;20576.0;1104.0;2016
01109;814.0;33820.0;2017.617083946981;2021
01109;737.0;31876.0;1915.0;2016
01110;69.0;20800.0;171.02650957290132;2021
01110;70.0;20113.0;155.0;2016
01111;62.0;21730.0;153.67599410898382;2021
01111;51.0;19724.0;123.0;2016
01112;167.0;25520.0;413.9337260677467;2021
01112;162.0;21874.0;432.0;2016
01113;345.0;23170.0;855.1325478645067;2021
01113;336.0;19951.0;826.0;2016
01114;238.0;30140.0;589.9175257731958;2021
01114;213.0;27678.0;541.0;2016
01115;562.0;24350.0;1392.99852724595;2021
01115;543.0;20859.0;1340.0;2016
01116;212.0;23210.0;525.4727540500736;2021
01116;211.0;21717.0;501.0;2016
01117;59.0;22900.0;146.24005891016202;2021
01117;56.0;18355.0;154.0;2016
01118;454.0;27120.0;1125.304860088365;2021
01118;438.0;24204.0;1048.0;2016
01121;45.0;24470.0;111.53902798232696;2021
01121;41.0;19896.0;106.0;2016
01123;462.0;25480.0;1145.1340206185566;2021
01123;432.0;23006.0;1158.0;2016
01124;314.0;23440.0;778.2945508100147;2021
01124;293.0;20592.0;660.0;2016
01125;278.0;24010.0;689.0633284241532;2021
01125;258.0;21892.0;621.0;2016
01127;228.0;24080.0;565.1310751104565;2021
01127;214.0;23060.0;484.0;2016
01128;134.0;22520.0;332.13843888070693;2021
01128;123.0;19992.0;297.0;2016
01129;123.0;26820.0;304.8733431516937;2021
01129;111.0;21660.0;277.0;2016
01130;938.0;24120.0;2324.969072164949;2021
01130;858.0;21828.0;2288.0;2016
01133;169.0;23660.0;418.8910162002946;2021
01133;170.0;22578.0;442.0;2016
01134;754.0;24310.0;1868.898379970545;2021
01134;698.0;22457.0;1795.0;2016
01135;796.0;44040.0;1973.0014727540504;2021
01135;670.0;38348.0;1836.0;2016
01136;376.0;25850.0;931.9705449189986;2021
01136;330.0;22133.0;901.0;2016
01138;1474.0;21730.0;3653.522827687776;2021
01138;1244.0;19460.0;2810.0;2016
01139;195.0;19790.0;483.3357879234168;2021
01139;196.0;18522.0;445.0;2016
01140;306.0;26220.0;758.4653902798233;2021
01140;295.0;22357.0;756.0;2016
01141;180.0;25670.0;446.1561119293078;2021
01141;178.0;23300.0;441.0;2016
01142;1856.0;25320.0;4600.3652430044185;2021
01142;1800.0;22913.0;4827.0;2016
01143;4130.0;46650.0;10236.80412371134;2021
01143;3665.0;43325.0;8622.0;2016
01145;514.0;24100.0;1274.0235640648011;2021
01145;484.0;20832.0;1169.0;2016
01146;165.0;24550.0;408.9764359351988;2021
01146;158.0;22263.0;446.0;2016
01147;220.0;21490.0;545.3019145802651;2021
01147;194.0;19996.0;478.0;2016
01148;802.0;23960.0;1987.8733431516937;2021
01148;775.0;21718.0;1857.0;2016
01149;454.0;27910.0;1125.304860088365;2021
01149;434.0;24938.0;1092.0;2016
01150;92.0;23580.0;228.03534609720177;2021
01150;90.0;21995.0;216.0;2016
01151;517.0;24570.0;1281.459499263623;2021
01151;481.0;22102.0;1151.0;2016
01152;299.0;28070.0;741.1148748159058;2021
01152;296.0;25156.0;754.0;2016
01153;758.0;49930.0;1878.8129602356407;2021
01153;664.0;47218.0;1860.0;2016
01155;63.0;23720.0;156.15463917525773;2021
01155;63.0;21079.0;146.0;2016
01156;321.0;26730.0;795.6450662739322;2021
01156;288.0;23749.0;791.0;2016
01157;977.0;27070.0;2421.636229749632;2021
01157;867.0;24723.0;2265.0;2016
01158;383.0;37990.0;949.321060382916;2021
01158;334.0;34415.0;873.0;2016
01159;1497.0;24360.0;3710.531664212077;2021
01159;1432.0;21822.0;3442.0;2016
01160;3704.0;27220.0;9180.901325478646;2021
01160;3121.0;26579.0;6647.0;2016
01162;375.0;24560.0;929.4918998527246;2021
01162;347.5;22023.0;893.0;2016
01163;865.0;23810.0;2144.027982326952;2021
01163;826.0;21330.0;2033.0;2016
01165;593.0;26140.0;1469.836524300442;2021
01165;565.0;23034.0;1613.0;2016
01166;1011.0;27060.0;2505.910162002945;2021
01166;891.0;24400.0;2418.0;2016
01167;292.0;24530.0;723.7643593519882;2021
01167;263.0;22642.0;689.0;2016
01169;271.0;25500.0;671.7128129602356;2021
01169;231.0;23167.0;644.0;2016
01170;382.0;24070.0;946.842415316642;2021
01170;373.0;21122.0;1087.0;2016
01171;315.0;25370.0;780.7731958762887;2021
01171;321.0;22391.0;932.0;2016
01173;5068.0;35280.0;12561.773195876289;2021
01173;4894.0;32304.0;11276.0;2016
01174;70.0;26560.0;173.50515463917526;2021
01174;69.0;21643.0;157.0;2016
01175;349.0;22580.0;865.0471281296024;2021
01175;337.0;20351.0;838.0;2016
01177;84.0;24680.0;208.20618556701032;2021
01177;82.0;23121.0;176.0;2016
01179;846.0;24460.0;2096.933726067746;2021
01179;812.0;22505.0;1958.0;2016
01180;318.0;55340.0;788.2091310751105;2021
01180;260.0;45127.0;648.0;2016
01181;447.0;25220.0;1107.9543446244477;2021
01181;429.0;22552.0;1210.0;2016
01183;573.0;25240.0;1420.2636229749633;2021
01183;553.0;23560.0;1462.0;2016
