ID_Commune,Annee,Population_Totale,Pct_Jeunes,Pct_Seniors,Pct_Sans_Activite,Pct_Etrangere,Taille_Commune
01095,2021,832,25.0,20.79,27.88,2.16,2
01095,2017,814,30.1,15.85,29.12,2.58,2
01096,2021,1036,26.74,14.96,25.97,1.83,2
01096,2017,1008,27.18,14.68,25.79,1.79,2
01098,2021,1188,25.67,19.44,29.88,7.66,2
01098,2017,1112,25.45,19.69,30.22,7.73,2
01099,2021,1600,23.62,16.69,28.44,3.31,2
01099,2017,1514,24.64,14.6,26.29,2.44,2
01100,2021,131,17.56,36.64,41.98,4.58,1
01100,2017,134,17.91,36.57,41.79,4.48,1
01101,2021,150,19.33,17.33,16.67,5.33,1
01101,2017,151,20.53,15.23,29.14,4.64,1
01102,2021,973,27.85,13.98,28.78,1.85,2
01102,2017,952,28.68,13.45,27.94,1.79,2
01103,2021,2261,29.1,8.36,20.26,26.54,3
01103,2017,1812,28.64,8.55,20.47,26.55,2
01104,2021,445,23.15,18.88,23.82,7.42,1
01104,2017,467,25.05,17.77,21.84,6.0,1
01105,2021,1916,27.4,12.42,23.49,4.07,2
01105,2017,1680,27.38,12.44,23.51,4.05,2
01106,2021,176,25.57,22.16,30.68,2.27,1
01106,2017,173,25.43,22.54,30.64,2.31,1
01107,2021,140,24.29,22.14,31.43,2.86,1
01107,2017,136,22.06,22.06,33.09,74.26,1
01108,2021,1227,22.09,30.56,34.56,2.53,2
01108,2017,1181,21.34,31.08,41.07,1.69,2
01109,2021,2249,29.52,9.65,19.03,24.9,3
01109,2017,2219,29.92,9.42,18.84,25.01,3
01110,2021,163,22.7,20.86,38.65,1.23,1
01110,2017,140,22.14,21.43,38.57,1.43,1
01111,2021,135,26.67,21.48,22.96,1.48,1
01111,2017,124,26.61,20.97,22.58,1.61,1
01112,2021,473,28.75,10.36,15.86,7.61,1
01112,2017,411,29.2,9.25,18.98,7.54,1
01113,2021,815,26.26,16.44,26.5,2.09,2
01113,2017,822,26.4,16.3,26.28,2.07,2
01114,2021,685,25.4,26.72,33.14,4.96,2
01114,2017,648,23.61,25.15,36.27,3.86,2
01115,2021,1348,27.6,13.28,25.89,3.64,2
01115,2017,1336,28.22,12.95,23.8,2.47,2
01116,2021,493,23.12,25.35,47.06,4.87,1
01116,2017,499,23.85,24.65,46.09,4.81,1
01117,2021,149,31.54,16.78,26.85,3.36,1
01117,2017,148,31.76,16.89,26.35,3.38,1
01118,2021,1296,22.92,20.52,33.33,8.56,2
01118,2017,1264,24.05,20.17,36.0,9.34,2
01121,2021,117,23.93,13.68,100.0,6.84,1
01121,2017,114,24.56,14.04,100.0,7.02,1
01123,2021,1162,26.16,20.65,28.92,4.3,2
01123,2017,1138,25.66,18.89,29.17,4.83,2
01124,2021,703,23.04,20.63,29.3,1.56,2
01124,2017,664,22.74,22.74,37.5,1.2,2
01125,2021,596,24.83,18.29,29.36,3.69,2
01125,2017,621,25.93,17.39,28.66,3.54,2
01127,2021,504,23.41,25.4,30.95,1.79,2
01127,2017,507,23.87,25.05,30.57,1.78,2
01128,2021,297,23.23,21.55,33.67,37.37,1
01128,2017,313,27.48,17.89,38.02,1.6,1
01129,2021,306,26.8,21.9,35.62,0.98,1
01129,2017,266,22.56,21.8,23.68,1.5,1
01130,2021,2380,28.11,15.67,27.39,1.89,3
01130,2017,2282,30.28,12.8,25.55,2.19,3
01133,2021,389,18.77,22.11,28.02,4.37,1
01133,2017,392,21.68,16.58,36.22,3.83,1
01134,2021,1818,23.87,21.23,31.08,3.52,2
01134,2017,1734,24.57,18.05,30.33,3.06,2
01135,2021,2288,28.37,11.15,23.95,30.59,3
01135,2017,2138,28.25,11.23,23.99,30.59,3
01136,2021,943,26.94,16.01,29.8,2.86,2
01136,2017,868,26.96,15.9,29.72,2.88,2
01138,2021,3426,25.42,20.75,38.24,14.33,3
01138,2017,3035,26.1,19.64,34.7,16.21,3
01139,2021,451,23.5,27.49,40.13,4.88,1
01139,2017,440,22.5,26.82,36.36,4.77,1
01140,2021,784,24.11,21.43,30.48,2.55,2
01140,2017,770,24.16,22.08,29.22,2.08,2
01141,2021,433,22.17,24.25,39.72,1.62,1
01141,2017,448,25.22,21.88,34.38,2.68,1
01142,2021,4753,28.66,15.32,28.82,8.48,3
01142,2017,4717,29.38,13.27,26.27,7.46,3
01143,2021,10137,26.21,17.11,29.41,22.93,4
01143,2017,9644,26.74,15.43,28.2,24.42,3
01145,2021,1207,25.02,17.65,35.46,2.15,2
01145,2017,1166,25.81,17.07,34.99,2.14,2
01146,2021,437,27.92,16.48,34.55,0.69,1
01146,2017,435,32.64,11.49,29.2,1.15,1
01147,2021,526,26.81,19.96,28.71,1.71,2
01147,2017,486,23.87,21.19,30.86,2.67,1
01148,2021,1953,24.73,20.53,34.97,14.8,2
01148,2017,1846,23.29,17.33,36.02,12.57,2
01149,2021,1094,26.14,17.64,31.17,2.74,2
01149,2017,1041,24.98,14.22,29.78,2.11,2
01150,2021,215,25.58,13.02,16.28,3.72,1
01150,2017,216,25.93,12.96,16.2,3.7,1
01151,2021,1139,22.83,23.35,35.56,2.11,2
01151,2017,1159,23.64,23.04,33.05,3.11,2
01152,2021,765,22.48,18.17,29.54,4.97,2
01152,2017,757,25.23,17.7,25.89,5.28,2
01153,2021,2127,31.55,11.61,23.08,27.88,3
01153,2017,2132,32.6,10.98,22.7,27.91,3
01155,2021,142,21.13,21.83,45.77,3.52,1
01155,2017,145,24.14,18.62,34.48,2.76,1
01156,2021,877,28.05,13.23,18.59,1.94,2
01156,2017,806,28.16,13.15,18.49,1.99,2
01157,2021,2431,26.37,20.2,30.65,3.29,3
01157,2017,2204,26.59,19.33,29.9,2.68,3
01158,2021,1058,28.64,11.91,19.57,28.17,2
01158,2017,1038,29.58,12.04,24.57,28.42,2
01159,2021,3381,23.04,20.59,32.8,5.12,3
01159,2017,3291,23.12,20.54,32.76,5.1,3
01160,2021,10921,25.04,12.44,26.24,44.39,4
01160,2017,9767,24.59,12.67,26.35,44.36,3
01162,2021,64,28.12,21.88,100.0,100.0,1
01162,2017,68,27.94,22.06,100.0,100.0,1
01163,2021,2014,22.94,22.99,36.25,2.18,3
01163,2017,2085,24.46,19.18,33.33,1.92,3
01165,2021,1585,29.78,14.51,28.08,2.78,2
01165,2017,1611,31.72,11.24,22.66,2.61,2
01166,2021,2482,25.26,16.16,26.99,4.19,3
01166,2017,2351,24.97,15.65,26.67,4.72,3
01167,2021,658,21.28,19.45,31.16,2.43,2
01167,2017,647,23.18,17.93,30.6,2.32,2
01169,2021,650,28.15,12.0,22.92,2.92,2
01169,2017,612,29.08,11.6,22.39,2.94,2
01170,2021,1048,29.96,9.35,24.71,11.83,2
01170,2017,1051,31.3,8.66,23.98,11.89,2
01171,2021,835,22.04,15.69,32.1,13.53,2
01171,2017,874,23.91,14.3,31.46,13.5,2
01173,2021,13078,24.71,10.32,20.3,23.02,4
01173,2017,13118,24.72,9.7,20.05,22.05,4
01174,2021,176,25.57,17.05,28.41,4.55,1
01174,2017,183,27.87,16.94,30.6,8.2,1
01175,2021,786,23.92,21.12,35.75,2.16,2
01175,2017,835,25.27,19.88,34.37,2.16,2
01177,2021,184,22.83,27.72,27.17,78.26,1
01177,2017,177,23.16,27.68,27.68,76.27,1
01179,2021,1901,22.72,23.36,39.61,3.84,2
01179,2017,1876,23.45,20.84,31.29,3.46,2
01180,2021,864,25.58,18.29,31.48,25.81,2
01180,2017,833,25.93,17.65,31.57,27.85,2
01181,2021,1230,24.31,22.28,37.07,11.87,2
01181,2017,1229,26.44,17.98,33.6,12.12,2
01183,2021,1495,26.56,18.93,32.17,4.41,2
01183,2017,1452,28.17,16.74,31.27,3.99,2
01184,2021,758,25.46,21.37,35.22,1.19,2
01184,2017,777,26.13,20.59,33.98,1.93,2
01185,2021,4807,19.14,29.02,42.19,7.18,3
01185,2017,4853,19.6,27.53,45.97,6.9,3
01187,2021,609,16.09,26.27,42.04,4.27,2
01187,2017,669,17.64,24.96,41.41,4.33,2
01188,2021,689,29.9,13.64,26.12,1.6,2
01188,2017,627,26.16,16.75,20.41,1.28,2
01189,2021,1123,25.56,13.36,23.95,8.28,2
01189,2017,1136,25.88,13.12,23.77,8.27,2
01190,2021,89,22.47,26.97,47.19,4.49,1
01190,2017,89,19.1,29.21,39.33,100.0,1
01191,2021,155,21.29,24.52,34.19,3.23,1
01191,2017,156,19.23,22.44,25.64,2.56,1
01192,2021,2267,25.98,14.95,25.32,9.7,3
01192,2017,2247,27.68,14.24,27.01,9.48,3
01193,2021,222,18.02,27.03,55.86,5.86,1
01193,2017,235,18.3,26.38,56.17,5.96,1
01194,2021,6355,23.86,22.17,35.75,9.14,3
01194,2017,6339,24.81,19.67,34.45,8.41,3
01195,2021,1861,25.63,23.91,34.55,2.9,2
01195,2017,1755,26.95,20.85,30.03,2.45,2
01196,2021,1259,28.59,14.77,26.13,2.78,2
01196,2017,1182,31.56,14.38,30.96,2.03,2
01197,2021,380,23.68,24.47,32.11,1.32,1
01197,2017,355,22.25,20.56,22.54,1.69,1
01198,2021,262,26.34,12.6,29.01,2.29,1
01198,2017,271,27.31,11.81,28.04,2.21,1
01199,2021,2124,26.04,19.54,28.67,4.66,3
01199,2017,2156,26.39,19.39,28.15,4.17,3
01200,2021,210,23.81,18.1,25.71,8.57,1
01200,2017,210,29.05,14.29,23.33,7.14,1
01202,2021,7268,24.04,22.14,33.98,7.29,3
01202,2017,7143,24.57,19.52,32.97,6.76,3
01203,2021,1299,25.02,20.71,29.18,2.69,2
01203,2017,1212,25.91,15.51,31.52,2.56,2
01204,2021,746,28.28,15.42,24.53,6.7,2
01204,2017,720,28.06,15.56,24.58,6.67,2
01206,2021,270,22.22,19.63,24.44,4.07,1
01206,2017,277,24.91,18.41,32.49,4.69,1
01207,2021,326,26.69,12.58,16.56,1.23,1
01207,2017,316,26.27,11.08,28.48,1.58,1
01208,2021,136,17.65,30.15,40.44,2.21,1
01208,2017,124,18.55,33.06,54.03,0.81,1
01209,2021,817,31.09,11.38,15.18,16.65,2
01209,2017,739,30.18,11.77,15.43,16.51,2
01210,2021,230,19.13,20.0,28.7,3.04,1
01210,2017,227,19.38,19.82,28.19,3.08,1
01211,2021,1408,24.79,19.25,32.1,2.91,2
01211,2017,1405,25.84,18.43,31.25,2.92,2
01212,2021,714,26.33,19.47,29.27,2.94,2
01212,2017,735,26.8,18.78,28.44,2.04,2
01213,2021,1392,27.73,10.99,22.7,3.59,2
01213,2017,1303,28.63,10.51,22.33,3.53,2
01214,2021,163,19.02,19.63,24.54,6.13,1
01214,2017,152,21.05,17.11,28.95,7.24,1
01215,2021,141,19.86,19.15,21.28,10.64,1
01215,2017,131,22.9,16.79,18.32,13.74,1
01216,2021,892,19.73,33.18,45.29,3.25,2
01216,2017,889,21.37,25.53,38.36,2.25,2
01219,2021,163,20.86,21.47,39.88,2.45,1
01219,2017,168,20.83,21.43,39.29,2.38,1
01224,2021,3381,29.4,14.26,24.84,7.25,3
01224,2017,3146,31.34,12.75,24.95,7.37,3
01225,2021,393,23.41,20.87,33.33,2.8,1
01225,2017,384,23.44,19.53,38.28,3.12,1
01227,2021,655,24.89,20.0,31.3,3.05,2
01227,2017,644,27.33,17.08,31.37,3.42,2
01228,2021,679,25.48,17.08,29.01,13.11,2
01228,2017,635,24.88,17.64,29.61,13.23,2
01229,2021,1214,24.55,20.35,33.28,1.81,2
01229,2017,1216,26.48,18.67,31.74,1.89,2
01230,2021,308,24.68,24.03,26.3,1.3,1
01230,2017,313,25.88,23.0,25.56,1.28,1
01231,2021,1955,23.27,22.05,35.65,1.84,2
01231,2017,1963,24.2,21.19,34.64,1.83,2
01232,2021,2268,22.84,25.09,33.6,1.54,3
01232,2017,2244,24.02,21.48,37.7,1.78,3
01233,2021,132,21.97,21.21,36.36,0.76,1
01233,2017,131,24.43,24.43,45.8,2.29,1
01234,2021,167,15.57,22.16,32.93,4.79,1
01234,2017,172,15.12,22.09,32.56,4.65,1
01235,2021,1182,29.7,16.33,34.01,3.98,2
01235,2017,1112,28.78,15.56,29.41,3.6,2
01236,2021,1030,27.09,18.64,25.15,2.14,2
01236,2017,991,27.04,18.67,25.23,2.22,2
01237,2021,1671,26.39,16.46,27.17,13.46,2
01237,2017,1654,29.02,14.15,31.44,13.97,2
01238,2021,2721,26.79,17.6,29.99,4.96,3
01238,2017,2590,27.76,15.56,32.47,4.48,3
01239,2021,642,23.52,23.99,40.81,3.27,2
01239,2017,614,23.13,22.96,36.32,3.75,2
01240,2021,629,20.35,17.97,27.19,5.25,2
01240,2017,641,25.59,15.29,32.14,3.12,2
01241,2021,1383,22.2,21.4,37.82,2.96,2
01241,2017,1335,22.92,20.75,37.23,2.92,2
01242,2021,136,27.94,13.97,11.03,2.21,1
01242,2017,130,28.46,13.85,11.54,2.31,1
01243,2021,1288,26.71,18.63,37.34,3.65,2
01243,2017,1224,26.96,18.38,37.09,3.68,2
01244,2021,8085,26.79,17.48,29.65,7.5,3
01244,2017,7743,27.04,15.82,28.49,7.54,3
01245,2021,965,27.67,18.55,31.5,2.28,2
01245,2017,913,26.94,19.17,32.31,2.3,2
01246,2021,2192,25.55,21.58,35.26,4.88,3
01246,2017,2172,26.38,19.01,30.16,5.66,3
01247,2021,297,23.91,15.15,21.89,9.09,1
01247,2017,341,22.29,13.49,25.22,9.09,1
01248,2021,2227,23.48,14.14,26.0,4.94,3
01248,2017,2100,25.86,12.24,28.76,4.81,3
01249,2021,10225,27.11,16.35,30.77,12.48,4
01249,2017,9963,26.89,15.61,30.45,10.95,3
01250,2021,1994,32.05,15.6,32.35,3.01,2
01250,2017,1941,31.07,13.34,26.48,2.01,2
01252,2021,803,26.9,17.06,30.64,1.37,2
01252,2017,778,26.86,17.1,30.46,1.41,2
01254,2021,2145,25.83,19.02,32.45,3.36,3
01254,2017,1992,26.31,18.62,32.13,3.36,2
01255,2021,666,27.93,17.57,30.63,4.5,2
01255,2017,622,27.65,17.85,30.87,4.5,2
01257,2021,350,22.57,16.29,28.86,3.71,1
01257,2017,344,22.97,15.99,28.49,3.78,1
01258,2021,1198,25.88,17.45,23.79,2.92,2
01258,2017,1195,27.28,12.72,24.18,2.68,2
01259,2021,704,27.84,12.64,22.73,1.28,2
01259,2017,691,29.38,11.87,29.23,1.3,2
01260,2021,319,29.78,12.23,11.29,6.9,1
01260,2017,297,27.95,16.16,19.19,6.73,1
01261,2021,682,24.93,15.1,33.14,4.4,2
01261,2017,646,25.7,14.55,32.66,4.33,2
01262,2021,6838,24.96,18.75,31.38,13.45,3
01262,2017,6964,25.66,18.25,31.02,13.47,3
01263,2021,3792,24.6,22.42,35.15,3.69,3
01263,2017,3793,26.42,19.51,33.72,3.48,3
01264,2021,1008,26.19,17.26,22.72,2.58,2
01264,2017,1040,27.21,16.54,22.12,2.69,2
01265,2021,3541,25.47,18.33,37.31,22.87,3
01265,2017,3435,26.08,16.36,33.97,23.11,3
01266,2021,2578,20.17,30.06,44.3,3.45,3
01266,2017,2489,21.05,29.33,43.59,3.5,3
01267,2021,990,23.64,21.72,31.62,8.48,2
01267,2017,1028,26.65,17.02,26.85,7.68,2
01268,2021,240,25.42,25.83,33.33,2.92,1
01268,2017,252,26.59,25.4,32.54,2.78,1
01269,2021,3449,26.47,19.95,36.3,23.75,3
01269,2017,3446,26.41,20.08,36.42,23.68,3
01272,2021,1515,22.31,24.95,38.94,1.85,2
01272,2017,1510,24.44,21.99,33.11,2.25,2
01273,2021,1799,26.63,17.9,29.07,3.45,2
01273,2017,1756,26.88,15.32,27.51,4.44,2
01274,2021,632,30.85,16.14,35.92,20.25,2
01274,2017,639,29.89,16.28,35.68,20.34,2
01275,2021,2538,24.98,19.7,30.26,6.54,3
01275,2017,2527,25.37,17.41,31.26,6.37,3
01276,2021,1634,28.27,13.95,28.95,5.08,2
01276,2017,1619,28.04,12.04,19.15,4.82,2
01277,2021,115,22.61,16.52,100.0,1.74,1
01277,2017,119,22.69,16.81,100.0,1.68,1
01279,2021,73,19.18,27.4,35.62,100.0,1
01279,2017,89,19.1,26.97,34.83,100.0,1
01280,2021,141,22.7,26.95,36.17,4.96,1
01280,2017,141,24.82,24.11,42.55,3.55,1
01281,2021,4690,28.72,11.75,27.21,38.06,3
01281,2017,4410,29.12,11.61,27.05,38.07,3
01282,2021,255,22.35,21.57,34.12,14.12,1
01282,2017,260,23.46,20.38,33.08,13.85,1
01283,2021,22277,29.48,19.9,39.48,32.57,4
01283,2017,22426,29.39,17.79,35.44,30.88,4
01284,2021,725,24.28,14.48,24.55,6.07,2
01284,2017,686,28.13,14.14,32.65,5.1,2
01285,2021,1319,28.73,14.63,21.68,3.41,2
01285,2017,1206,27.86,15.51,26.53,3.98,2
01286,2021,955,21.57,23.87,34.14,3.25,2
01286,2017,942,22.61,22.93,33.12,3.18,2
01288,2021,2838,27.52,10.04,19.87,25.48,3
01288,2017,2620,28.28,8.89,22.75,28.09,3
01289,2021,6448,23.0,27.33,38.91,8.53,3
01289,2017,6385,22.83,25.62,40.14,6.52,3
01290,2021,1346,22.81,22.66,32.99,5.2,2
01290,2017,1201,21.82,21.15,38.47,3.41,2
01291,2021,852,23.0,21.6,34.86,3.05,2
01291,2017,838,23.99,18.5,34.61,1.91,2
01293,2021,148,21.62,23.65,33.11,97.3,1
01293,2017,157,27.39,15.92,28.66,64.33,1
01294,2021,908,25.66,17.84,30.29,5.62,2
01294,2017,873,24.63,18.67,30.24,5.04,2
01295,2021,666,32.58,9.46,13.81,2.55,2
01295,2017,661,34.34,6.51,17.4,2.57,2
01296,2021,407,26.04,16.46,29.73,1.47,1
01296,2017,408,27.7,17.89,34.56,1.72,1
01297,2021,914,28.12,12.8,26.7,2.74,2
01297,2017,820,28.29,12.68,26.46,2.8,2
01298,2021,161,25.47,23.6,26.71,1.86,1
01298,2017,132,25.0,23.48,26.52,2.27,1
01299,2021,579,26.08,14.68,32.99,5.87,2
01299,2017,564,27.13,12.94,34.57,8.69,2
01301,2021,2648,24.28,23.07,33.27,2.64,3
01301,2017,2511,24.49,20.27,31.66,2.23,3
01302,2021,168,16.07,27.98,39.29,66.07,1
01302,2017,159,20.13,23.27,37.74,3.14,1
01303,2021,1729,24.64,20.59,28.63,4.8,2
01303,2017,1703,26.72,20.61,31.12,4.05,2
01304,2021,2871,25.84,19.99,30.06,8.85,3
01304,2017,2964,26.96,19.03,32.52,8.4,3
01305,2021,2189,18.23,31.43,42.3,2.56,3
01305,2017,2258,18.87,30.78,41.67,2.57,3
01306,2021,1629,22.28,26.64,35.36,3.13,2
01306,2017,1625,22.46,26.22,35.08,3.32,2
