ID Commune,annee,nb_faits,population
01001,2016,0.0,767
01002,2016,0.0,243
01004,2016,690.0,14081
01005,2016,17.0,1671
01006,2016,0.0,110
01007,2016,58.0,2684
01008,2016,0.0,750
01009,2016,0.0,336
01010,2016,0.0,1124
01011,2016,0.0,383
01012,2016,0.0,326
01013,2016,0.0,148
01014,2016,84.0,3379
01015,2016,0.0,640
01016,2016,0.0,462
01017,2016,0.0,438
01019,2016,0.0,26
01021,2016,13.0,1389
01022,2016,9.0,1227
01023,2016,0.0,63
01024,2016,44.0,3270
01025,2016,32.0,4088
01026,2016,9.0,915
01027,2016,41.0,2856
01028,2016,0.0,596
01029,2016,0.0,685
01030,2016,7.0,885
01031,2016,112.0,3618
01032,2016,84.0,3314
01033,2016,815.0,16302
01034,2016,438.0,9133
01035,2016,0.0,317
01036,2016,0.0,1299
01037,2016,0.0,294
01038,2016,0.0,762
01040,2016,0.0,494
01041,2016,0.0,750
01042,2016,0.0,276
01043,2016,216.0,4557
01044,2016,0.0,611
01045,2016,0.0,285
01046,2016,0.0,857
01047,2016,0.0,993
01049,2016,88.0,3021
01050,2016,0.0,338
01051,2016,0.0,89
01052,2016,0.0,319
01053,2016,2439.0,41365
01054,2016,19.0,1325
01056,2016,0.0,354
01057,2016,0.0,515
01058,2016,12.0,849
01060,2016,0.0,522
01061,2016,0.0,1169
01062,2016,0.0,891
01063,2016,0.0,515
01064,2016,6.0,991
01065,2016,9.0,1767
01066,2016,0.0,71
01067,2016,15.0,253
01068,2016,0.0,785
01069,2016,9.0,1532
01071,2016,78.0,4836
01072,2016,42.0,3138
01073,2016,0.0,1012
01074,2016,35.0,2406
01075,2016,0.0,1296
01076,2016,0.0,137
01077,2016,0.0,193
01078,2016,5.0,1450
01079,2016,0.0,825
01080,2016,0.0,657
01081,2016,0.0,729
01082,2016,0.0,633
01083,2016,0.0,898
01084,2016,0.0,833
01085,2016,0.0,387
01087,2016,0.0,285
01088,2016,0.0,923
01089,2016,28.0,2080
01090,2016,0.0,333
01092,2016,10.0,1574
01093,2016,147.0,4886
01094,2016,0.0,750
01095,2016,0.0,805
01096,2016,0.0,1006
01098,2016,13.0,1079
