ID Commune,annee,nb_faits,population
01001,2021,0.0,832
01002,2021,0.0,267
01004,2021,748.0,14854
01005,2021,6.0,1897
01006,2021,0.0,113
01007,2021,64.0,2833
01008,2021,0.0,768
01009,2021,0.0,322
01010,2021,0.0,1125
01011,2021,0.0,383
01012,2021,0.0,327
01013,2021,0.0,141
01014,2021,70.0,3409
01015,2021,0.0,667
01016,2021,0.0,459
01017,2021,0.0,432
01019,2021,0.0,26
01021,2021,6.0,1498
01022,2021,0.0,1177
01023,2021,0.0,77
01024,2021,53.0,3336
01025,2021,43.0,4065
01026,2021,0.0,979
01027,2021,42.0,2692
01028,2021,0.0,621
01029,2021,0.0,700
01030,2021,8.0,830
01031,2021,149.0,3636
01032,2021,105.0,3434
01033,2021,758.0,16295
01034,2021,362.0,9239
01035,2021,0.0,306
01036,2021,0.0,1342
01037,2021,0.0,310
01038,2021,15.0,764
01040,2021,0.0,480
01041,2021,0.0,749
01042,2021,0.0,290
01043,2021,204.0,4877
01044,2021,0.0,626
01045,2021,0.0,284
01046,2021,0.0,904
01047,2021,5.0,1292
01049,2021,119.0,3361
01050,2021,0.0,386
01051,2021,0.0,95
01052,2021,0.0,327
01053,2021,2693.0,41525
01054,2021,20.0,1517
01056,2021,0.0,356
01057,2021,0.0,510
01058,2021,0.0,818
01060,2021,0.0,518
01061,2021,7.0,1129
01062,2021,0.0,978
01063,2021,0.0,576
01064,2021,0.0,1099
01065,2021,0.0,1851
01066,2021,0.0,95
01067,2021,5.0,261
01068,2021,5.0,761
01069,2021,17.0,1505
01071,2021,160.0,5307
01072,2021,47.0,3285
01073,2021,0.0,992
01074,2021,42.0,2559
01075,2021,0.0,1430
01076,2021,0.0,124
01077,2021,0.0,189
01078,2021,0.0,1619
01079,2021,0.0,826
01080,2021,0.0,645
01081,2021,0.0,718
01082,2021,0.0,616
01083,2021,0.0,1003
01084,2021,0.0,931
01085,2021,0.0,394
01087,2021,0.0,279
01088,2021,6.0,898
01089,2021,49.0,2287
01090,2021,0.0,360
01092,2021,8.0,1649
01093,2021,125.0,5059
01094,2021,0.0,767
01095,2021,0.0,832
01096,2021,5.0,1036
01098,2021,0.0,1188
01099,2021,78.0,1600
01100,2021,0.0,131
01101,2021,0.0,150
01102,2021,0.0,973
01103,2021,40.0,2261
01104,2021,0.0,445
01105,2021,42.0,1916
01106,2021,0.0,176
01107,2021,0.0,140
01108,2021,0.0,1227
01109,2021,31.0,2249
01110,2021,0.0,163
01111,2021,0.0,135
01112,2021,0.0,473
01113,2021,0.0,815
01114,2021,0.0,685
01115,2021,0.0,1348
01116,2021,0.0,493
01117,2021,0.0,149
01118,2021,11.0,1296
01121,2021,0.0,117
01123,2021,0.0,1162
01124,2021,0.0,703
01125,2021,0.0,596
01127,2021,0.0,504
01128,2021,0.0,297
01129,2021,0.0,306
01130,2021,22.0,2380
01133,2021,0.0,389
01134,2021,7.0,1818
01135,2021,25.0,2288
01136,2021,0.0,943
01138,2021,94.0,3426
01139,2021,0.0,451
01140,2021,0.0,784
01141,2021,0.0,433
01142,2021,225.0,4753
01143,2021,388.0,10137
01145,2021,18.0,1207
01146,2021,0.0,437
01147,2021,0.0,526
01148,2021,11.0,1953
01149,2021,0.0,1094
01150,2021,0.0,215
01151,2021,5.0,1139
01152,2021,0.0,765
01153,2021,52.0,2127
01155,2021,0.0,142
01156,2021,0.0,877
01157,2021,34.0,2431
01158,2021,6.0,1058
01159,2021,55.0,3381
01160,2021,444.0,10920
01162,2021,0.0,64
01163,2021,7.0,2014
01165,2021,0.0,1585
01166,2021,16.0,2482
01167,2021,0.0,658
01169,2021,0.0,650
01170,2021,0.0,1048
01171,2021,0.0,835
01173,2021,406.0,13078
01174,2021,0.0,176
01175,2021,0.0,786
01177,2021,0.0,184
01179,2021,10.0,1901
01180,2021,7.0,864
01181,2021,8.0,1230
01183,2021,5.0,1495
01184,2021,0.0,758
01185,2021,77.0,4807
01187,2021,0.0,609
01188,2021,0.0,689
01189,2021,0.0,1123
01190,2021,0.0,89
01191,2021,0.0,155
01192,2021,27.0,2267
01193,2021,0.0,222
01194,2021,173.0,6355
01195,2021,50.0,1861
01196,2021,0.0,1259
01197,2021,0.0,380
01198,2021,0.0,262
01199,2021,44.0,2124
01200,2021,0.0,210
01202,2021,200.0,7268
01203,2021,12.0,1299
01204,2021,0.0,746
01206,2021,0.0,270
01207,2021,0.0,326
01208,2021,0.0,136
01209,2021,0.0,817
01210,2021,0.0,230
01211,2021,7.0,1408
01212,2021,0.0,714
01213,2021,5.0,1392
01214,2021,0.0,163
01215,2021,0.0,141
01216,2021,0.0,892
01219,2021,0.0,163
01224,2021,68.0,3381
01225,2021,0.0,393
01227,2021,0.0,655
01228,2021,0.0,679
01229,2021,0.0,1214
01230,2021,0.0,308
01231,2021,7.0,1955
01232,2021,16.0,2268
01233,2021,0.0,132
01234,2021,0.0,167
01235,2021,9.0,1182
01236,2021,0.0,1030
01237,2021,7.0,1671
01238,2021,74.0,2721
01239,2021,0.0,642
01240,2021,0.0,629
01241,2021,0.0,1383
01242,2021,0.0,136
01243,2021,0.0,1288
01244,2021,297.0,8085
01245,2021,0.0,965
01246,2021,10.0,2192
01247,2021,0.0,297
01248,2021,80.0,2227
01249,2021,449.0,10225
01250,2021,10.0,1994
01252,2021,0.0,803
01254,2021,16.0,2145
01255,2021,0.0,666
01257,2021,0.0,350
01258,2021,0.0,1198
01259,2021,0.0,704
01260,2021,0.0,319
01261,2021,0.0,682
01262,2021,287.0,6838
01263,2021,52.0,3792
