ID Commune;Année;Population Active;Chômeurs;Emplois;% Chômage
01001;2017;380.320498132323;33.4252662491528;346.8952318831702;0.09
01002;2017;125.530864197531;10.2057613168724;115.3251028806586;0.08
01004;2017;6835.19564049066;1015.3045282611;5819.891112229559;0.15
01005;2017;874.050089358249;68.5983481615111;805.4517411967379;0.08
01006;2017;58.5272727272728;8.07272727272728;50.454545454545524;0.14
01007;2017;1343.5835125448;102.321146953405;1241.2623655913949;0.08
01008;2017;419.327152317881;26.8927152317881;392.4344370860929;0.06
01009;2017;143.611111111111;15.2777777777778;128.3333333333332;0.11
01010;2017;539.0;52.0;487.0;0.1
01011;2017;180.0;17.0;163.0;0.09
01012;2017;146.0;17.0;129.0;0.12
01013;2017;70.0;7.0;63.0;0.1
01014;2017;1493.0;210.0;1283.0;0.14
01015;2017;297.613601236476;37.8238021638331;259.7897990726429;0.13
01016;2017;208.389433612452;16.4799111052666;191.9095225071854;0.08
01017;2017;183.516558825242;27.1709678294026;156.3455909958394;0.15
01019;2017;8.16666666666669;1.16666666666667;7.0000000000000195;0.14
01021;2017;676.612865497092;44.1315789473698;632.4812865497222;0.07
01022;2017;537.425591643922;75.6913882998754;461.7342033440466;0.14
01023;2017;32.1315789473684;4.34210526315789;27.789473684210513;0.14
01024;2017;1609.0;111.0;1498.0;0.07
01025;2017;2043.54333948183;145.880908346363;1897.662431135467;0.07
01026;2017;434.300684389285;37.7583697234352;396.5423146658498;0.09
01027;2017;1784.95747841189;78.6442053887966;1706.3132730230934;0.04
01028;2017;315.025060202805;26.2746362334967;288.75042396930826;0.08
01029;2017;302.0;30.0;272.0;0.1
01030;2017;449.191797346201;36.562123039807;412.629674306394;0.08
01031;2017;1649.0;247.0;1402.0;0.15
01032;2017;1588.77472288978;136.123913093121;1452.650809796659;0.09
01033;2017;8165.12563559173;1309.90014887733;6855.2254867144;0.16
01034;2017;3987.49119287035;657.014029989822;3330.477162880528;0.16
01035;2017;178.277312770887;20.2013836672298;158.0759291036572;0.11
01036;2017;580.487953872404;50.0698582958909;530.4180955765131;0.09
01037;2017;132.72961441368;11.1610262095609;121.5685882041191;0.08
01038;2017;366.140266570137;21.9028309035036;344.23743566663336;0.06
01039;2017;210.090293453725;26.645598194131;183.444695259594;0.13
01040;2017;274.722318922814;17.353561166302;257.36875775651197;0.06
01041;2017;389.562416107381;35.1409395973153;354.4214765100657;0.09
01042;2017;145.565217391304;8.08695652173912;137.47826086956488;0.06
01043;2017;2251.90524497864;151.337941030171;2100.567303948469;0.07
01044;2017;325.762658227848;43.3037974683544;282.45886075949363;0.13
01045;2017;140.996441281139;9.06405693950178;131.93238434163723;0.06
01046;2017;462.0;30.0;432.0;0.06
01047;2017;554.17017932619;45.4250660720273;508.74511325416273;0.08
01049;2017;1600.21689415448;122.788380721051;1477.428513433429;0.08
01050;2017;164.446063658897;12.1849245980656;152.2611390608314;0.07
01051;2017;42.0;8.0;34.0;0.19
01052;2017;162.0;12.0;150.0;0.07
01053;2017;17644.875978143;3170.29221179693;14474.583766346072;0.18
01054;2017;713.582089552239;36.8926794598436;676.6894100923954;0.05
01056;2017;158.0;15.0;143.0;0.09
01057;2017;254.818335897994;18.8652154695282;235.95312042846578;0.07
01058;2017;363.377352847365;41.304865109979;322.072487737386;0.11
01060;2017;238.0;17.0;221.0;0.07
01061;2017;571.536667572972;63.3791452280217;508.1575223449503;0.11
01062;2017;464.795918367347;32.2910848549946;432.5048335123524;0.07
01063;2017;232.888788003456;22.06632405896;210.822463944496;0.09
01064;2017;560.671498121529;72.1560105925493;488.5154875289797;0.13
01065;2017;874.281456953643;49.1721854304636;825.1092715231794;0.06
01066;2017;30.2808988764045;4.32584269662922;25.95505617977528;0.14
01067;2017;151.403921568627;8.96470588235294;142.43921568627405;0.06
01068;2017;361.797257752442;43.1960114140049;318.60124633843714;0.12
01069;2017;812.029294274299;49.4893475366177;762.5399467376812;0.06
01071;2017;2709.0;239.0;2470.0;0.09
01072;2017;1471.24840395935;126.135830708231;1345.112573251119;0.09
01073;2017;466.854436689929;41.1635094715851;425.6909272183439;0.09
01074;2017;1175.69303071328;109.131774274707;1066.561256438573;0.09
01075;2017;731.872818471597;58.0752779158747;673.7975405557223;0.08
01076;2017;58.0;12.0;46.0;0.21
01077;2017;91.4715025906737;12.0621761658031;79.4093264248706;0.13
01078;2017;726.110121992174;59.2626655565961;666.8474564355779;0.08
01079;2017;302.980758658603;21.2795850562898;281.7011736023132;0.07
01080;2017;318.0;29.0;289.0;0.09
01081;2017;370.94693877551;34.7142857142857;336.23265306122425;0.09
01082;2017;328.0;35.0;293.0;0.11
01083;2017;487.499530313219;35.5056329906764;451.9938973225426;0.07
01084;2017;417.75980942542;30.3739580645009;387.38585136091905;0.07
01085;2017;200.507028454868;17.0328105181405;183.47421793672748;0.08
01087;2017;132.0;14.0;118.0;0.11
01088;2017;532.24668141593;40.3982300884956;491.84845132743436;0.08
01089;2017;1075.16822015091;72.1207279183311;1003.0474922325789;0.07
01090;2017;151.342696629214;11.4943820224719;139.8483146067421;0.08
01092;2017;783.112219451371;46.4139650872818;736.6982543640892;0.06
01093;2017;2118.0;226.0;1892.0;0.11
01094;2017;369.019867549669;25.9311258278146;343.08874172185443;0.07
01095;2017;381.066927502297;49.4910753472186;331.5758521550784;0.13
01096;2017;515.46587537092;29.9109792284866;485.5548961424334;0.06
01098;2017;515.174825174825;64.1538461538461;451.02097902097887;0.12
01099;2017;814.273098086229;63.4916199967606;750.7814780894684;0.08
